"","id","category"
"525",367,"world"
"526",367,"books"
"527",368,"paid death notices"
"528",369,"u.s."
"529",370,"corrections"
"530",370,"new york"
"531",370,"region"
"532",371,"health"
"533",371,"opinion"
"534",372,"arts"
"535",372,"books"
"536",372,"opinion"
"537",373,"science"
"538",373,"health"
"539",374,"business"
"540",374,"washington"
"541",375,"paid death notices"
"542",376,"arts"
"543",376,"health"
"544",376,"books"
"545",377,"new york"
"546",377,"region"
"547",377,"opinion"
"548",378,"new york"
"549",378,"region"
"550",379,"arts"
"551",380,"opinion"
"552",381,"business"
"553",382,"home"
"554",382,"garden"
"555",382,"style"
"556",383,"paid death notices"
"557",384,"health"
"558",384,"education"
"559",384,"new york"
"560",384,"region"
"561",385,"business"
"562",386,"health"
"563",386,"u.s."
"564",386,"washington"
"565",387,"arts"
"566",388,"sports"
"567",389,"style"
"568",390,"style"
"569",391,"opinion"
"570",393,"u.s."
"571",394,"style"
"572",395,"business"
"573",396,"education"
"574",396,"new york"
"575",396,"region"
"576",397,"world"
"577",397,"front page"
"578",397,"washington"
"579",398,"week in review"
"580",399,"business"
"581",400,"arts"
"582",401,"paid death notices"
"583",402,"movies"
"584",402,"arts"
"585",403,"dining"
"586",403,"wine"
"587",403,"style"
"588",404,"world"
"589",404,"washington"
"590",405,"style"
"591",406,"new york"
"592",406,"region"
"593",407,"paid death notices"
"594",408,"technology"
"595",408,"world"
"596",409,"opinion"
"597",410,"arts"
"598",410,"theater"
"599",411,"paid death notices"
"600",412,"u.s."
"601",413,"new york"
"602",413,"region"
"603",414,"arts"
"604",414,"theater"
"605",415,"new york"
"606",415,"region"
"607",416,"business"
"608",417,"business"
"609",417,"obituaries"
"610",418,"paid death notices"
"611",419,"business"
"612",420,"business"
"613",421,"business"
"614",422,"movies"
"615",422,"arts"
"616",423,"business"
"617",424,"opinion"
"618",425,"new york"
"619",425,"region"
"620",427,"paid death notices"
"621",428,"magazine"
"622",428,"washington"
"623",428,"opinion"
"624",429,"technology"
"625",429,"business"
"626",430,"paid death notices"
"627",431,"paid death notices"
"628",432,"technology"
"629",432,"science"
"630",432,"arts"
"631",433,"arts"
"632",434,"new york"
"633",434,"region"
"634",435,"paid death notices"
"635",436,"corrections"
"636",436,"new york"
"637",436,"region"
"638",437,"new york"
"639",437,"region"
"640",438,"business"
"641",439,"business"
"642",440,"u.s."
"643",441,"front page"
"644",442,"education"
"645",442,"new york"
"646",442,"region"
"647",443,"arts"
"648",444,"u.s."
"649",445,"movies"
"650",445,"arts"
"651",446,"world"
"652",446,"washington"
"653",447,"business"
"654",448,"health"
"655",448,"new york"
"656",448,"region"
"657",449,"opinion"
"658",450,"new york"
"659",450,"region"
"660",451,"u.s."
"661",452,"opinion"
"662",453,"world"
"663",454,"technology"
"664",454,"science"
"665",454,"automobiles"
"666",455,"sports"
"667",456,"business"
"668",457,"paid death notices"
"669",457,"new york"
"670",457,"region"
"671",458,"world"
"672",459,"new york"
"673",459,"region"
"674",460,"science"
"675",460,"health"
"676",461,"paid death notices"
"677",462,"arts"
"678",463,"world"
"679",464,"paid death notices"
"680",465,"paid death notices"
"681",466,"home"
"682",466,"garden"
"683",466,"style"
"684",467,"sports"
"685",468,"corrections"
"686",468,"new york"
"687",468,"region"
"688",469,"corrections"
"689",469,"new york"
"690",469,"region"
"691",470,"corrections"
"692",470,"new york"
"693",470,"region"
"694",471,"new york"
"695",471,"region"
"696",472,"u.s."
"697",473,"sports"
"698",474,"real estate"
"699",475,"paid death notices"
"700",476,"new york"
"701",476,"region"
"702",477,"business"
"703",478,"business"
"704",479,"business"
"705",480,"education"
"706",480,"new york"
"707",480,"region"
"708",481,"paid death notices"
"709",482,"new york"
"710",482,"region"
"711",483,"business"
"712",484,"u.s."
"713",484,"obituaries"
"714",484,"books"
"715",485,"opinion"
"716",486,"opinion"
"717",487,"business"
"718",488,"obituaries"
"719",488,"new york"
"720",488,"region"
"721",489,"paid death notices"
"722",490,"world"
"723",491,"health"
"724",491,"education"
"725",491,"real estate"
"726",492,"sports"
"727",493,"u.s."
"728",494,"new york"
"729",494,"region"
"730",495,"new york"
"731",495,"region"
"732",496,"home"
"733",496,"garden"
"734",496,"style"
"735",497,"world"
"736",497,"washington"
"737",498,"arts"
"738",498,"washington"
"739",498,"books"
"740",499,"new york"
"741",499,"region"
"742",500,"arts"
